Iteration,Mean_SED_psi,Max_SED_psi,Bone_SED_Target_psi,SED_CoeffVariation,Max_Displacement_in,Total_Volume_estimate
1,0.21956930132933525,1.1352825552265216,5.8,1.2555442873087437,0.006019120521973252,76.00000000000001
2,0.17388899832076488,0.728337297659469,5.8,0.972143951164063,0.0059727215744609825,76.87702073134119
3,0.15220278691142028,0.5118218257210996,5.8,0.7425998717574389,0.005804604992821058,77.31450008886983
4,0.14121353602924963,0.38791005073095713,5.8,0.5805716480438554,0.005700094813332445,77.71632930434
5,0.13570362538848244,0.3064510332344765,5.8,0.46207581701880246,0.005635833240140137,78.07356172368087
6,0.13347363993026184,0.24546440474176107,5.8,0.3718829165134539,0.005569787919010697,78.38014272369645
7,0.13177638400736735,0.198828183465047,5.8,0.33069539510642715,0.00553123668203853,78.78356354063561
8,0.12935380776121833,0.176596809753845,5.8,0.325330119177473,0.00550465355987531,79.18988259491012
9,0.126580511150567,0.18028526680472032,5.8,0.3278477302331633,0.005462251896687179,79.41549770030164
10,0.12381673820268271,0.17755855375682494,5.8,0.33048619559451126,0.005418627958003111,79.52196555597558
11,0.12128534700570948,0.17264536000013947,5.8,0.33322249847864904,0.005379203853026507,79.5439562954714
12,0.11898283883195189,0.16726153855325904,5.8,0.3366905709852978,0.0053452931479462005,79.57225697715091
13,0.11677007676099899,0.16188594216958624,5.8,0.34143539389491384,0.005314711424449793,79.72879920841595
14,0.11416490318812568,0.15360536393066426,5.8,0.3576578466987607,0.0052832064334705255,80.0114869000551
15,0.11205793908837217,0.1471579028859522,5.8,0.37097775861248095,0.005250244385068084,80.34147421290783
16,0.11028263038672154,0.14205800980862418,5.8,0.38037066288817006,0.00521652194426304,80.70554927844752
17,0.10871627571147786,0.13787825322766137,5.8,0.3865337361043213,0.005182513727972135,81.09607446336032
18,0.10728340589754627,0.1343442303288034,5.8,0.3903201970462973,0.005148507243575981,81.50727599984744
19,0.10593087033735289,0.1312483203660662,5.8,0.3924637272276691,0.005114674784369599,81.93568467832138
20,0.10441228851182448,0.12757930494093742,5.8,0.39443911686148,0.005081096807880429,82.40965944435582
21,0.10293886113118482,0.12463622599079803,5.8,0.3957684651637856,0.005047081025333692,82.91122449281316
22,0.10149906207595033,0.12216429151111122,5.8,0.3966416466538345,0.005012795788946204,83.42979675408104
23,0.10008822750803041,0.12000100728523433,5.8,0.3972046364207835,0.004978466521682864,83.9590851134614
24,0.0987045903908815,0.1180440106691355,5.8,0.39756139093432197,0.004944267086860613,84.49519568397005
