Iteration,Mean_SED_psi,Max_SED_psi,Bone_SED_Target_psi,SED_CoeffVariation,Max_Displacement_in,Total_Volume_estimate
63,0.06074812856266003,0.07238633381569667,5.8,0.39816446028809777,0.003878593022397465,105.86451873135657
64,0.060071980169778764,0.07158262106184657,5.8,0.39818932879515917,0.003857015592196823,106.41475205520113
65,0.05940643133689848,0.07079166045608186,5.8,0.398215478501928,0.003835661677165136,106.96516292225436
66,0.05875125732617688,0.07001317838255362,5.8,0.39824289062029905,0.0038145275992598226,107.5157580337356
67,0.05810623945451272,0.06924690859295432,5.8,0.3982715451211815,0.0037936097607334926,108.066544087914
68,0.05747116489887325,0.06849259197000179,5.8,0.39830142074049874,0.003772904641990062,108.617527779485
69,0.056845826508857625,0.06774997629971576,5.8,0.3983324949848216,0.0037524087995086876,109.16871579896059
70,0.056230022626193366,0.06701881605211442,5.8,0.3983647441366616,0.0037321188638330615,109.72011483207214
71,0.055623556910873256,0.06629887216997912,5.8,0.3983981432594569,0.0037120315376237144,110.2717315591856
72,0.05502623817365665,0.06558991186534666,5.8,0.3984326662022745,0.0036921435937710195,110.82357265472821
73,0.054437880214671185,0.06489170842341158,5.8,0.39846828560425135,0.0036724518735667205,111.3756447866265
74,0.05385830166786204,0.06420404101353101,5.8,0.3985049728988036,0.0036529532849318984,111.9279546157549
75,0.05328732585104987,0.06352669450703667,5.8,0.39854269831762085,0.0036336448006993784,112.48050879539475
76,0.052724780621366686,0.0628594593015842,5.8,0.3985814308944767,0.0036145234569485906,113.03331397070308
77,0.0521704982358518,0.06220213115176257,5.8,0.3986211384688738,0.0035955863513911003,113.5863767781911
78,0.05162431521699818,0.06155451100572011,5.8,0.3986617876895519,0.0035768306418049833,114.13970384521205
79,0.05108607222305056,0.06091640484755986,5.8,0.39870334401788093,0.0035582535445163486,114.69330178945758
80,0.050555613922864395,0.06028762354527208,5.8,0.39874577173116255,0.0035398523329263614,115.2471772184631
81,0.05003278887514354,0.059667982703987585,5.8,0.39878903392586956,0.003521624336082224,115.8013367291212
82,0.049517449411882686,0.05905730252433504,5.8,0.3988330925208451,0.003503566937290537,116.35578690720324
83,0.04900945152584922,0.05845540766570675,5.8,0.3988779082604858,0.0034856775727716417,116.91053432688855
84,0.04850865476194475,0.05786212711423327,5.8,0.3989234407179392,0.0034679537303535105,117.46558555030121
85,0.04801492211229491,0.05727729405528997,5.8,0.39896964829833714,0.003450392948203871,118.02094712705397
86,0.047528119914922055,0.056700745750351736,5.8,0.39901648824209257,0.0034329928135992216,118.57662559379932
87,0.04704811775586205,0.05613232341803293,5.8,0.39906391662828916,0.003415750961729547,119.13262747378721
88,0.04657478837459213,0.05557187211914908,5.8,0.3991118883781856,0.003398665074537508,119.68895927642927
89,0.046108007572642974,0.0550192406456447,5.8,0.3991603572588651,0.0033817328795909497,120.24562749686959
90,0.04564765412527274,0.054474281413242204,5.8,0.39920927588705807,0.0033649521489876443,120.80263861556143
91,0.045193609696087045,0.053936850357668216,5.8,0.39925859573316186,0.0033483206982911906,121.35999909785001
92,0.04474575875449314,0.05340680683432308,5.8,0.3993082671254889,0.003331836385497022,121.91771539356094
93,0.044303988495881456,0.05288401352126287,5.8,0.39935823925477093,0.0033154971100275705,122.47579393659461
94,0.04386818876443195,0.05236833632537096,5.8,0.3994084601789457,0.0032993008117556217,123.03424114452544
95,0.043438251978447744,0.05185964429159895,5.8,0.39945887682825726,0.003283245470054936,123.5930634182071
96,0.04301407305812156,0.05135780951516268,5.8,0.399509435010695,0.0032673291028772608,124.15226714138228
97,0.042595549355644885,0.05086270705658663,5.8,0.3995600794178098,0.0032515497658548807,124.71185868029796
98,0.042182580587574306,0.050374214859486684,5.8,0.3996107536309206,0.003235905551427898,125.27184438332517
99,0.041775068769371176,0.04989221367099748,5.8,0.3996614001277594,0.0032203945879954333,125.83223058058371
100,0.04137291815203559,0.04941658696474155,5.8,0.3997119602895721,0.003205015039090008,126.39302358357159
